,policy,icache_cap,icache_ways,icache_blsz,dcache_cap,dcache_ways,dcache_blsz
0,rand,2048,1,128,65536,1,128
1,lru,2048,1,128,65536,1,128
2,rand,2048,1,128,65536,2,128
3,lru,2048,1,128,65536,2,128
4,rrip,2048,1,128,65536,1,128
5,rrip,2048,1,128,65536,2,128
6,lru,2048,1,128,65536,4,128
7,rrip,2048,1,128,65536,4,128
8,rand,2048,1,128,65536,4,128
9,lru,2048,1,128,65536,8,128
10,rrip,2048,1,128,65536,8,128
11,rand,2048,1,128,65536,8,128
12,lru,2048,1,128,65536,16,128
13,rrip,2048,1,128,65536,16,128
14,rand,2048,1,128,65536,16,128
15,lru,2048,2,128,65536,1,128
16,rand,2048,2,128,65536,1,128
17,rrip,2048,2,128,65536,1,128
18,rrip,2048,2,128,65536,2,128
19,lru,2048,2,128,65536,2,128
20,rand,2048,2,128,65536,2,128
21,rand,2048,2,128,65536,8,128
22,rrip,2048,2,128,65536,4,128
23,rand,2048,2,128,65536,4,128
24,rrip,2048,2,128,65536,8,128
25,lru,2048,2,128,65536,4,128
26,lru,2048,2,128,65536,8,128
27,rrip,2048,2,128,65536,16,128
28,lru,2048,2,128,65536,16,128
29,rand,2048,2,128,65536,16,128
30,rand,2048,4,128,65536,1,128
31,rand,2048,4,128,65536,2,128
32,lru,2048,4,128,65536,1,128
33,rrip,2048,4,128,65536,1,128
34,lru,2048,4,128,65536,2,128
35,lru,2048,4,128,65536,4,128
36,rrip,2048,4,128,65536,2,128
37,rand,2048,4,128,65536,4,128
38,rand,2048,4,128,65536,8,128
39,lru,2048,4,128,65536,8,128
40,rrip,2048,4,128,65536,8,128
41,rrip,2048,4,128,65536,4,128
42,lru,2048,4,128,65536,16,128
43,rand,2048,4,128,65536,16,128
44,rrip,2048,4,128,65536,16,128
45,rrip,2048,8,128,65536,1,128
46,lru,2048,8,128,65536,1,128
47,rand,2048,8,128,65536,2,128
48,rand,2048,8,128,65536,1,128
49,rrip,2048,8,128,65536,2,128
50,lru,2048,8,128,65536,2,128
51,lru,2048,8,128,65536,4,128
52,rand,2048,8,128,65536,4,128
53,rrip,2048,8,128,65536,4,128
54,lru,2048,8,128,65536,8,128
