input_size,dpu_cnt,tf_method,cpu_dpu,dpu_cpu
2,1,serial,0.0711,0.069
2,1,parallel,0.0707,0.0686
2,1,broadcast,0.072,0.0314
2,2,serial,0.0705,0.0642
2,2,parallel,0.0641,0.0612
2,2,broadcast,0.0634,0.033
2,4,serial,0.0666,0.1343
2,4,parallel,0.061,0.0611
2,4,broadcast,0.0591,0.0441
2,8,serial,0.1,0.1627
2,8,parallel,0.096,0.2409
2,8,broadcast,0.0919,0.092
2,16,serial,0.1574,0.2226
2,16,parallel,0.1564,0.2496
2,16,broadcast,0.1487,0.1377
2,32,serial,0.2513,0.2839
2,32,parallel,0.2603,0.301
2,32,broadcast,0.1785,0.1756
2,64,serial,0.3554,0.4053
2,64,parallel,0.3975,0.4402
2,64,broadcast,0.2921,0.2412
24,1,serial,0.5131,0.5059
24,1,parallel,0.4874,0.5021
24,1,broadcast,0.4989,0.0312
24,2,serial,0.3507,0.3167
24,2,parallel,0.3328,0.3043
24,2,broadcast,0.342,0.0332
24,4,serial,0.2039,0.6318
24,4,parallel,0.1791,0.6978
24,4,broadcast,0.1727,0.0382
24,8,serial,0.1706,1.5771
24,8,parallel,0.1722,1.7036
24,8,broadcast,0.1758,0.0724
24,16,serial,0.2468,1.0848
24,16,parallel,0.2412,1.1298
24,16,broadcast,0.2174,0.1316
24,32,serial,0.3161,1.2802
24,32,parallel,0.3295,1.2664
24,32,broadcast,0.246,0.1695
24,64,serial,0.5246,1.5147
24,64,parallel,0.5019,1.4964
24,64,broadcast,0.3799,0.3124
48,1,serial,1.0091,1.0103
48,1,parallel,1.0017,1.0042
48,1,broadcast,1.034,0.0319
48,2,serial,0.726,2.0356
48,2,parallel,0.7239,1.5867
48,2,broadcast,0.8076,0.0384
48,4,serial,0.5389,1.3937
48,4,parallel,0.4744,0.7092
48,4,broadcast,0.5734,0.0498
48,8,serial,0.3861,1.7731
48,8,parallel,0.3636,2.3788
48,8,broadcast,0.4275,0.078
48,16,serial,0.3852,1.7862
48,16,parallel,0.386,1.7452
48,16,broadcast,0.3891,0.1342
48,32,serial,0.4418,1.9792
48,32,parallel,0.4663,1.9457
48,32,broadcast,0.389,0.2151
48,64,serial,0.6205,2.3325
48,64,parallel,0.6422,2.1765
48,64,broadcast,0.5073,0.2942
