cpu_dpu,dpu_cpu,dpu_kernel_time,dpu_instr_cnt,inp_size,n_dpus,dtype,block,op,n_tsklts
0.106,0.054,52.7055,1331870.0,2,2,INT32,10,OP_ADD,16
0.108,0.052,50.687,1331870.0,2,2,INT32,10,OP_SUB,16
0.1245,0.083,363.7375,6009700.0,2,2,INT32,10,OP_MULT,16
0.1285,0.0785,184.0495,3353900.0,2,2,INT32,10,OP_DIV,16
0.113,0.064,56.7905,1479330.0,2,2,INT64,10,OP_ADD,16
0.113,0.071,56.9375,1479330.0,2,2,INT64,10,OP_SUB,16
0.1415,0.103,870.7965,17474300.0,2,2,INT64,10,OP_MULT,16
0.125,0.0945,1322.679,25990400.0,2,2,INT64,10,OP_DIV,16
0.1175,0.0705,463.7415,9728700.0,2,2,FLOAT,10,OP_ADD,16
0.1165,0.0775,513.308,10230000.0,2,2,FLOAT,10,OP_SUB,16
0.1195,0.095,1221.9075,23201100.0,2,2,FLOAT,10,OP_MULT,16
0.117,0.0815,6965.859,130178000.0,2,2,FLOAT,10,OP_DIV,16
0.1525,0.1155,797.0235,14672100.0,2,2,DOUBLE,10,OP_ADD,16
0.1435,0.094,940.159,15291600.0,2,2,DOUBLE,10,OP_SUB,16
0.158,0.107,5559.6115,82755500.0,2,2,DOUBLE,10,OP_MULT,16
0.16,0.1185,14093.1785,269198000.0,2,2,DOUBLE,10,OP_DIV,16
0.0875,0.0455,42.8775,1057300.0,2,2,CHAR,10,OP_ADD,16
0.0885,0.0435,42.0945,1057300.0,2,2,CHAR,10,OP_SUB,16
0.09,0.0485,43.706,1057300.0,2,2,CHAR,10,OP_MULT,16
0.0765,0.0425,125.319,2496610.0,2,2,CHAR,10,OP_DIV,16
0.0995,0.047,54.4155,1323680.0,2,2,SHORT,10,OP_ADD,16
0.0995,0.0485,53.127,1323680.0,2,2,SHORT,10,OP_SUB,16
0.098,0.049,100.9675,2109820.0,2,2,SHORT,10,OP_MULT,16
0.082,0.048,151.35,2954050.0,2,2,SHORT,10,OP_DIV,16
